               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.025891,            0.026268,                   0,              0.9557,             0.96295,             0.98698,             0.70414,             0.02369,            0.019769,                   0,            0.004645,            0.004645,            0.004645
                  63,            0.025525,             0.02613,                   0,              0.9589,             0.97578,             0.98914,             0.73402,            0.021461,            0.018525,                   0,           0.0045275,           0.0045275,           0.0045275
                  64,             0.02572,            0.026501,                   0,             0.96371,             0.97118,             0.98871,             0.73531,             0.02155,            0.018632,                   0,           0.0044114,           0.0044114,           0.0044114
                  65,            0.025609,            0.025414,                   0,             0.96243,             0.96887,             0.98826,             0.72733,            0.021878,            0.018795,                   0,           0.0042969,           0.0042969,           0.0042969
                  66,            0.025496,            0.025803,                   0,             0.96389,             0.97318,             0.98967,             0.74563,            0.020683,            0.018088,                   0,            0.004184,            0.004184,            0.004184
                  67,            0.025825,            0.026209,                   0,             0.96348,             0.97467,             0.99041,             0.73891,             0.02122,            0.018141,                   0,            0.004073,            0.004073,            0.004073
                  68,            0.025589,            0.026433,                   0,             0.96096,             0.97879,             0.99038,             0.74814,            0.020838,            0.017963,                   0,           0.0039638,           0.0039638,           0.0039638
                  69,            0.025063,            0.025309,                   0,             0.95946,             0.98087,             0.98985,              0.7462,            0.020661,            0.017932,                   0,           0.0038567,           0.0038567,           0.0038567
                  70,            0.025056,            0.025702,                   0,             0.95942,             0.98012,             0.99016,             0.74933,            0.020493,             0.01787,                   0,           0.0037517,           0.0037517,           0.0037517
                  71,            0.025205,            0.026216,                   0,             0.96137,             0.97557,             0.99047,             0.75011,            0.020384,            0.017893,                   0,           0.0036489,           0.0036489,           0.0036489
                  72,            0.024956,            0.025337,                   0,              0.9642,             0.97475,             0.99074,             0.74656,            0.020879,            0.018023,                   0,           0.0035484,           0.0035484,           0.0035484
                  73,            0.024846,            0.025093,                   0,             0.96529,             0.97749,             0.99149,             0.75704,            0.020184,            0.017701,                   0,           0.0034503,           0.0034503,           0.0034503
                  74,            0.024372,            0.025329,                   0,             0.96933,             0.97562,             0.99149,             0.76053,            0.019973,            0.017475,                   0,           0.0033548,           0.0033548,           0.0033548
                  75,            0.024473,            0.025222,                   0,             0.96709,             0.97187,             0.99075,             0.76396,            0.019883,            0.017396,                   0,           0.0032618,           0.0032618,           0.0032618
                  76,            0.024676,            0.024786,                   0,             0.96546,             0.97505,             0.99086,             0.75249,             0.02065,            0.017995,                   0,           0.0031716,           0.0031716,           0.0031716
                  77,             0.02414,            0.024911,                   0,             0.96434,             0.97637,             0.99064,             0.76312,            0.019903,            0.017496,                   0,           0.0030841,           0.0030841,           0.0030841
                  78,            0.024421,            0.025016,                   0,             0.96762,             0.97618,             0.99148,             0.76522,            0.019912,            0.017441,                   0,           0.0029996,           0.0029996,           0.0029996
                  79,            0.023893,            0.024107,                   0,              0.9691,             0.97749,             0.99174,             0.76752,            0.019535,            0.017153,                   0,           0.0029179,           0.0029179,           0.0029179
                  80,            0.023549,            0.024081,                   0,             0.96979,             0.97581,             0.99154,             0.76482,            0.019635,            0.017477,                   0,           0.0028394,           0.0028394,           0.0028394
                  81,            0.024313,            0.025404,                   0,             0.97153,             0.97318,             0.99131,             0.76193,            0.019752,            0.017504,                   0,           0.0027639,           0.0027639,           0.0027639
